main_transport_mode,distance_categories,Detour factor
Cars and motorbikes,Between 0.5 and 5 km,1.8864692225194752
Cars and motorbikes,Between 5 and 10 km,1.9393036410782414
Cars and motorbikes,Between 10 and 25 km,2.231086954572868
Cars and motorbikes,Between 25 and 50 km,2.714399394899552
Cars and motorbikes,Between 50 and 75 km,2.587281924228347
Cars and motorbikes,Between 75 and 100 km,2.3810863293971227
Cars and motorbikes,More than 100 km,1.9813076299140078
Other,Between 0.5 and 5 km,1.946633825944171
Other,Between 5 and 10 km,4.302274895912276
Other,Between 10 and 25 km,4.615426878069162
Other,Between 25 and 50 km,3.0911628062133127
Other,Between 50 and 75 km,1.870868614667292
Other,Between 75 and 100 km,2.378966664797907
Other,More than 100 km,1.8168316119527599
Public transport,Between 0.5 and 5 km,1.6942148760330578
Public transport,Between 5 and 10 km,1.8561113976276429
Public transport,Between 10 and 25 km,1.647662181963501
Public transport,Between 25 and 50 km,1.5823687669698527
Public transport,Between 50 and 75 km,1.4771787429686898
Public transport,Between 75 and 100 km,1.444195228650342
Public transport,More than 100 km,2.186478611960683
Walking and cycling,Between 0.5 and 5 km,2.314814814814815
Walking and cycling,Between 5 and 10 km,4.55788514129444
Walking and cycling,Between 10 and 25 km,7.54429148841794
Walking and cycling,Between 25 and 50 km,12.815969021047348
Walking and cycling,Between 50 and 75 km,6.198347107438017
Walking and cycling,Between 75 and 100 km,4.347117317828615
Walking and cycling,More than 100 km,4.204754619133253
