main_transport_mode,distance_categories,Detour factor
Cars and motorbikes,Between 0.5 and 5 km,1.8864692225194752
Cars and motorbikes,Between 5 and 10 km,1.9393036410782414
Cars and motorbikes,Between 10 and 25 km,2.231086954572868
Cars and motorbikes,Between 25 and 50 km,2.714399394899552
Cars and motorbikes,Between 50 and 75 km,2.587281924228347
Cars and motorbikes,Between 75 and 100 km,2.3810863293971227
Cars and motorbikes,More than 100 km,1.9813076299140078
Cycling,Between 0.5 and 5 km,2.42600679281902
Cycling,Between 5 and 10 km,3.285870755750274
Cycling,Between 10 and 25 km,6.666666666666667
Cycling,Between 25 and 50 km,9.03786607993115
Cycling,Between 50 and 75 km,6.198347107438017
Cycling,Between 75 and 100 km,4.347117317828615
Cycling,More than 100 km,4.204754619133253
Other,Between 0.5 and 5 km,1.946633825944171
Other,Between 5 and 10 km,4.302274895912276
Other,Between 10 and 25 km,4.615426878069162
Other,Between 25 and 50 km,3.0911628062133127
Other,Between 50 and 75 km,1.870868614667292
Other,Between 75 and 100 km,2.378966664797907
Other,More than 100 km,1.8168316119527599
Public transport,Between 0.5 and 5 km,1.6942148760330578
Public transport,Between 5 and 10 km,1.8561113976276429
Public transport,Between 10 and 25 km,1.647662181963501
Public transport,Between 25 and 50 km,1.5823687669698527
Public transport,Between 50 and 75 km,1.4771787429686898
Public transport,Between 75 and 100 km,1.444195228650342
Public transport,More than 100 km,2.186478611960683
Walking,Between 0.5 and 5 km,2.2598870056497176
Walking,Between 5 and 10 km,6.837099986766036
Walking,Between 10 and 25 km,9.055117101091163
Walking,Between 25 and 50 km,38.45374895434333
